merged_id,game_title,game_id,vgsales_rank,platform,genre,publisher,release_year,rating,global_sales,plays,wishlist,merge_date
832,Super Mario 3D World,NULL,262,wiiu,platform,nintendo,2013,3.9,4.25,9600,432000,04-10-2025
833,Super Mario 64,NULL,47,n64,platform,nintendo,1996,4.1,11.89,21000,775000,04-10-2025
834,Super Mario 64,NULL,47,n64,platform,nintendo,1996,4.1,11.89,21000,775000,04-10-2025
835,Super Mario 64,NULL,47,n64,platform,nintendo,1996,4.1,11.89,21000,775000,04-10-2025
836,Super Mario Bros.,NULL,2,nes,platform,nintendo,1985,3.5,40.24,18000,237000,04-10-2025
837,Super Mario Bros. 2,NULL,97,nes,platform,nintendo,1988,3.1,7.46,8400,189000,04-10-2025
838,Super Mario Bros. 3,NULL,23,nes,platform,nintendo,1988,4,17.28,14000,362000,04-10-2025
839,Super Mario Bros. 3,NULL,23,nes,platform,nintendo,1988,4,17.28,14000,362000,04-10-2025
840,Super Mario Bros. 3,NULL,23,nes,platform,nintendo,1988,4,17.28,14000,362000,04-10-2025
841,Super Mario Galaxy,NULL,49,wii,platform,nintendo,2007,4.3,11.52,21000,1200,04-10-2025
842,Super Mario Galaxy,NULL,49,wii,platform,nintendo,2007,4.3,11.52,21000,1200,04-10-2025
843,Super Mario Galaxy,NULL,49,wii,platform,nintendo,2007,4.3,11.52,21000,1200,04-10-2025
844,Super Mario Galaxy 2,NULL,92,wii,platform,nintendo,2010,4.3,7.69,13000,1300,04-10-2025
